# GoldenPad production source license manifest
# MGB64 pin: cd9b58f5f91291579b8e551aa925aab000d311cf
# Generated by scripts/generate-source-license-manifest.sh from the configured game-bearing target.
path	origin	license_boundary	evidence
Sources/AppleRenderSurface.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/GoldenPadApp.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/InputSystem.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/MetalCanvas.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/PlatformServices.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/ROMValidator.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/TouchControlsView.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Sources/TouchLayout.swift	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_core_bridge.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_metal_surface_bridge.mm	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_config.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_gu.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_host.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_legacy_data.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_mobile_os.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_renderer_bridge.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_renderer_defaults.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/MGB64/mgb64_rom_bridge.c	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
Support/RT64/rt64_bridge_stub.cpp	GoldenPad project	GoldenPad-original-no-outbound-license-declared	docs/LEGAL.md
mgb64/assets/GlobalImageTable.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/assets/font_dl.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/app/cli_stage_tables.c	MGB64 contributors	MIT-MGB64	mgb64/LICENSE and mgb64/NOTICE.md
mgb64/src/boss.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/c_data_filler.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/cfb.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/crash.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/deb.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/debugmenu.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/fr.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/ads_profiles.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/alloc_window_pieces.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/bg.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/bg2.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/blood_animation.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/blood_decrypt.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/bondhead.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/bondinv.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/bondview.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/bondview_r.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/bondwalk2.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/cheat_buttons.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/chr.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
mgb64/src/game/chrObjRandom.c	GoldenEye decompilation via n64decomp/007 and MGB64	Original-game-rights-no-MGB64-MIT-grant	docs/LEGAL.md and mgb64/THIRD_PARTY.md
